Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	49	e	1	Ground	50	e	1	563.782449678786	1.32078379754175E-9	4328.40938926424	3764.62693958546	16.3333333333333	27.8161950522869	0	P(50)	Excited v=1 49 e - Ground v=0 50 e
LinearMolecule	Excited	48	e	1	Ground	49	e	1	566.757853470412	2.65171826982269E-9	4183.75236405252	3616.99451058211	16	28.2529840358655	0	P(49)	Excited v=1 48 e - Ground v=0 49 e
LinearMolecule	Excited	47	e	1	Ground	48	e	1	569.732792869965	5.24567623653798E-9	4042.04752302879	3472.31473015882	15.6666666666667	28.6939333755274	0	P(48)	Excited v=1 47 e - Ground v=0 48 e
LinearMolecule	Excited	46	e	1	Ground	47	e	1	572.707267877446	1.02245905946259E-8	3903.29486619305	3330.5875983156	15.3333333333333	29.139033803954	0	P(47)	Excited v=1 46 e - Ground v=0 47 e
LinearMolecule	Excited	45	e	1	Ground	46	e	1	575.681278492854	1.96359569283814E-8	3767.49439354531	3191.81311505245	15	29.5882732335766	0	P(46)	Excited v=1 45 e - Ground v=0 46 e
LinearMolecule	Excited	44	e	1	Ground	45	e	1	578.654824716189	3.71544370194081E-8	3634.64610508556	3055.99128036937	14.6666666666667	30.0416364422712	0	P(45)	Excited v=1 44 e - Ground v=0 45 e
LinearMolecule	Excited	43	e	1	Ground	44	e	1	581.627906547452	6.92646917642258E-8	3504.75000081381	2923.12209426635	14.3333333333333	30.4991047156995	0	P(44)	Excited v=1 43 e - Ground v=0 44 e
LinearMolecule	Excited	42	e	1	Ground	43	e	1	584.600523986642	1.27217006651544E-7	3377.80608073005	2793.20555674341	14	30.9606554391545	0	P(43)	Excited v=1 42 e - Ground v=0 43 e
LinearMolecule	Excited	41	e	1	Ground	42	e	1	587.572677033759	2.30196735826095E-7	3253.81434483428	2666.24166780052	13.6666666666667	31.4262616303963	0	P(42)	Excited v=1 41 e - Ground v=0 42 e
LinearMolecule	Excited	40	e	1	Ground	41	e	1	590.544365688804	4.10356869431156E-7	3132.77479312651	2542.23042743771	13.3333333333333	31.8958914032755	0	P(41)	Excited v=1 40 e - Ground v=0 41 e
LinearMolecule	Excited	39	e	1	Ground	40	e	1	593.515589951777	7.2064225942637E-7	3014.68742560674	2421.17183565496	13	32.3695073498813	0	P(40)	Excited v=1 39 e - Ground v=0 40 e
LinearMolecule	Excited	38	e	1	Ground	39	e	1	596.486349822676	1.24669181560372E-6	2899.55224227496	2303.06589245228	12.6666666666667	32.8470658263985	0	P(39)	Excited v=1 38 e - Ground v=0 39 e
LinearMolecule	Excited	37	e	1	Ground	38	e	1	599.456645301503	2.12453856399607E-6	2787.36924313117	2187.91259782967	12.3333333333333	33.3285161247017	0	P(38)	Excited v=1 37 e - Ground v=0 38 e
LinearMolecule	Excited	36	e	1	Ground	37	e	1	602.426476388257	3.56631555985167E-6	2678.13842817538	2075.71195178712	12	33.8137995077705	0	P(37)	Excited v=1 36 e - Ground v=0 37 e
LinearMolecule	Excited	35	e	1	Ground	36	e	1	605.395843082939	5.89666798380611E-6	2571.85979740758	1966.46395432464	11.6666666666667	34.3028480820751	0	P(36)	Excited v=1 35 e - Ground v=0 36 e
LinearMolecule	Excited	34	e	1	Ground	35	e	1	608.364745385549	9.60297727842839E-6	2468.53335082777	1860.16860544223	11.3333333333333	34.7955834738533	0	P(35)	Excited v=1 34 e - Ground v=0 35 e
LinearMolecule	Excited	33	e	1	Ground	34	e	1	611.333183296084	0.0000154026791102381	2368.15908843596	1756.82590513988	11	35.2919152683014	0	P(34)	Excited v=1 33 e - Ground v=0 34 e
LinearMolecule	Excited	32	e	1	Ground	33	e	1	614.301156814548	0.0000243307020184568	2270.73701023215	1656.4358534176	10.6666666666667	35.7917391606149	0	P(33)	Excited v=1 32 e - Ground v=0 33 e
LinearMolecule	Excited	31	e	1	Ground	32	e	1	617.268665940939	0.0000378491106605583	2176.26711621633	1558.99845027539	10.3333333333333	36.2949347548424	0	P(32)	Excited v=1 31 e - Ground v=0 32 e
LinearMolecule	Excited	30	e	1	Ground	31	e	1	620.235710675258	0.000057979111317356	2084.7494063885	1464.51369571324	10	36.8013629297281	0	P(31)	Excited v=1 30 e - Ground v=0 31 e
LinearMolecule	Excited	29	e	1	Ground	30	e	1	623.202291017504	0.0000874523736839233	1996.18388074867	1372.98158973117	9.66666666666666	37.3108626687895	0	P(30)	Excited v=1 29 e - Ground v=0 30 e
LinearMolecule	Excited	28	e	1	Ground	29	e	1	626.168406967677	0.000129873914227066	1910.57053929683	1284.40213232916	9.33333333333333	37.8232472230425	0	P(29)	Excited v=1 28 e - Ground v=0 29 e
LinearMolecule	Excited	27	e	1	Ground	28	e	1	629.134058525778	0.000189882502737277	1827.90938203299	1198.77532350721	9	38.3382994365003	0	P(28)	Excited v=1 27 e - Ground v=0 28 e
LinearMolecule	Excited	26	e	1	Ground	27	e	1	632.099245691806	0.000273286894749608	1748.20040895714	1116.10116326534	8.66666666666667	38.8557660132927	0	P(27)	Excited v=1 26 e - Ground v=0 27 e
