Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	49	e	1	Ground	50	e	1	565.015759368357	0.000157089381195287	4315.57865878251	3750.56289941416	16.3333333333333	27.9991437275971	0	P(50)	Excited v=1 49 e - Ground v=0 50 e
LinearMolecule	Excited	48	e	1	Ground	49	e	1	567.915782020531	0.000189955079319513	4172.10994300264	3604.19416098211	16	28.4265069321849	0	P(49)	Excited v=1 48 e - Ground v=0 49 e
LinearMolecule	Excited	47	e	1	Ground	48	e	1	570.818206125694	0.000228650692576573	4031.51460040533	3460.69639427964	15.6666666666667	28.858242759494	0	P(48)	Excited v=1 47 e - Ground v=0 48 e
LinearMolecule	Excited	46	e	1	Ground	47	e	1	573.722988150372	0.000273968993221203	3893.79600582311	3320.07301767274	15.3333333333333	29.294346815173	0	P(47)	Excited v=1 46 e - Ground v=0 47 e
LinearMolecule	Excited	45	e	1	Ground	46	e	1	576.630084014647	0.000326758468206558	3758.9574637795	3182.32737976485	15	29.734811670835	0	P(46)	Excited v=1 45 e - Ground v=0 46 e
LinearMolecule	Excited	44	e	1	Ground	45	e	1	579.539449092168	0.000387915879290541	3627.002208489	3047.46275939684	14.6666666666667	30.1796265416422	0	P(45)	Excited v=1 44 e - Ground v=0 45 e
LinearMolecule	Excited	43	e	1	Ground	44	e	1	582.451038210136	0.000458375781236782	3497.93340385712	2915.48236564698	14.3333333333333	30.6287769204548	0	P(44)	Excited v=1 43 e - Ground v=0 44 e
LinearMolecule	Excited	42	e	1	Ground	43	e	1	585.36480564932	0.000539096665327745	3371.75414348032	2786.389337831	14	31.082244161408	0	P(43)	Excited v=1 42 e - Ground v=0 43 e
LinearMolecule	Excited	41	e	1	Ground	42	e	1	588.280705144045	0.000631043448630906	3248.46745064609	2660.18674550205	13.6666666666667	31.5400050043964	0	P(42)	Excited v=1 41 e - Ground v=0 42 e
LinearMolecule	Excited	40	e	1	Ground	41	e	1	591.198689882198	0.00073516610605653	3128.07627833289	2536.87758845069	13.3333333333333	32.0020310302719	0	P(41)	Excited v=1 40 e - Ground v=0 41 e
