Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	44	e	1	Ground	45	e	1	579.53944909218	3.87554852202492E-8	3627.00220848898	3047.4627593968	14.6666666666667	30.1796265416441	0	P(45)	Excited v=1 44 e - Ground v=0 45 e
LinearMolecule	Excited	43	e	1	Ground	44	e	1	582.451038210148	7.19379683181181E-8	3497.9334038571	2915.48236564695	14.3333333333333	30.6287769204566	0	P(44)	Excited v=1 43 e - Ground v=0 44 e
LinearMolecule	Excited	42	e	1	Ground	43	e	1	585.36480564933	1.31599128960424E-7	3371.75414348031	2786.38933783098	14	31.0822441614095	0	P(43)	Excited v=1 42 e - Ground v=0 43 e
LinearMolecule	Excited	41	e	1	Ground	42	e	1	588.280705144054	2.37246554584055E-7	3248.46745064608	2660.18674550202	13.6666666666667	31.5400050043978	0	P(42)	Excited v=1 41 e - Ground v=0 42 e
LinearMolecule	Excited	40	e	1	Ground	41	e	1	591.198689882206	4.21483298913324E-7	3128.07627833288	2536.87758845067	13.3333333333333	32.0020310302731	0	P(41)	Excited v=1 40 e - Ground v=0 41 e
LinearMolecule	Excited	39	e	1	Ground	40	e	1	594.118712505234	7.37861943990863E-7	3010.58350921016	2416.46479670493	13	32.4682880344867	0	P(40)	Excited v=1 39 e - Ground v=0 40 e
LinearMolecule	Excited	38	e	1	Ground	39	e	1	597.040725108146	1.27281121219157E-6	2895.99195563836	2298.95123053021	12.6666666666667	32.938735304366	0	P(39)	Excited v=1 38 e - Ground v=0 39 e
LinearMolecule	Excited	37	e	1	Ground	38	e	1	599.964679239511	2.16334550571804E-6	2784.30435966891	2184.3396804294	12.3333333333333	33.4133247820519	0	P(38)	Excited v=1 37 e - Ground v=0 38 e
LinearMolecule	Excited	36	e	1	Ground	37	e	1	602.890525901456	3.62275162333741E-6	2675.52339304422	2072.63286714276	12	33.8920000911839	0	P(37)	Excited v=1 36 e - Ground v=0 37 e
LinearMolecule	Excited	35	e	1	Ground	36	e	1	605.818215549673	5.97693504142259E-6	2569.65165719771	1963.83344164803	11.6666666666667	34.3746954004827	0	P(36)	Excited v=1 35 e - Ground v=0 36 e
LinearMolecule	Excited	34	e	1	Ground	35	e	1	608.747698093411	9.71451062034749E-6	2466.69168325376	1857.94398516035	11.3333333333333	34.8613340911531	0	P(35)	Excited v=1 34 e - Ground v=0 35 e
LinearMolecule	Excited	33	e	1	Ground	34	e	1	611.67892289548	0.0000155538982563553	2366.64593202777	1754.96700913229	11	35.351827187131	0	P(34)	Excited v=1 33 e - Ground v=0 34 e
