mol,iso,nu,intensity,vib_up,vib_lo,local_qn,up,lo,branch,Jpp,parity
23,1,706.0664,3.214e-20,0 1 1 0,0 0 0 0,P  2e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,2,e
23,1,703.109429,6.118e-20,0 1 1 0,0 0 0 0,P  3e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,3,e
23,1,700.152291,8.609000000000001e-20,0 1 1 0,0 0 0 0,P  4e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,4,e
23,1,697.195054,1.061e-19,0 1 1 0,0 0 0 0,P  5e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,5,e
23,1,694.237788,1.209e-19,0 1 1 0,0 0 0 0,P  6e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,6,e
23,1,691.280557,1.303e-19,0 1 1 0,0 0 0 0,P  7e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,7,e
23,1,688.323429,1.346e-19,0 1 1 0,0 0 0 0,P  8e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,8,e
23,1,685.366471,1.342e-19,0 1 1 0,0 0 0 0,P  9e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,9,e
23,1,682.409746,1.298e-19,0 1 1 0,0 0 0 0,P 10e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,10,e
23,1,679.453321,1.223e-19,0 1 1 0,0 0 0 0,P 11e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,11,e
23,1,676.497258,1.124e-19,0 1 1 0,0 0 0 0,P 12e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,12,e
23,1,673.541623,1.009e-19,0 1 1 0,0 0 0 0,P 13e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,13,e
23,1,670.586477,8.874e-20,0 1 1 0,0 0 0 0,P 14e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,14,e
23,1,667.631884,7.644e-20,0 1 1 0,0 0 0 0,P 15e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,15,e
23,1,664.677905,6.457000000000001e-20,0 1 1 0,0 0 0 0,P 16e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,16,e
23,1,661.724602,5.3530000000000004e-20,0 1 1 0,0 0 0 0,P 17e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,17,e
23,1,658.772035,4.3560000000000006e-20,0 1 1 0,0 0 0 0,P 18e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,18,e
23,1,655.820265,3.4820000000000004e-20,0 1 1 0,0 0 0 0,P 19e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,19,e
23,1,652.869351,2.7350000000000005e-20,0 1 1 0,0 0 0 0,P 20e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,20,e
23,1,649.919353,2.112e-20,0 1 1 0,0 0 0 0,P 21e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,21,e
23,1,646.970327,1.6030000000000002e-20,0 1 1 0,0 0 0 0,P 22e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,22,e
23,1,644.022333,1.1970000000000001e-20,0 1 1 0,0 0 0 0,P 23e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,23,e
23,1,641.075427,8.787e-21,0 1 1 0,0 0 0 0,P 24e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,24,e
23,1,638.129666,6.348e-21,0 1 1 0,0 0 0 0,P 25e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,25,e
23,1,635.185107,4.513e-21,0 1 1 0,0 0 0 0,P 26e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,26,e
23,1,632.241803,3.157e-21,0 1 1 0,0 0 0 0,P 27e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,27,e
23,1,629.29981,2.174e-21,0 1 1 0,0 0 0 0,P 28e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,28,e
23,1,626.359183,1.474e-21,0 1 1 0,0 0 0 0,P 29e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,29,e
23,1,623.419973,9.833e-22,0 1 1 0,0 0 0 0,P 30e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,30,e
23,1,620.482236,6.46e-22,0 1 1 0,0 0 0 0,P 31e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,31,e
23,1,617.546022,4.179e-22,0 1 1 0,0 0 0 0,P 32e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,32,e
23,1,614.611383,2.6619999999999997e-22,0 1 1 0,0 0 0 0,P 33e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,33,e
23,1,611.67837,1.67e-22,0 1 1 0,0 0 0 0,P 34e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,34,e
23,1,608.747034,1.032e-22,0 1 1 0,0 0 0 0,P 35e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,35,e
23,1,605.817424,6.28e-23,0 1 1 0,0 0 0 0,P 36e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,36,e
23,1,602.889589,3.764e-23,0 1 1 0,0 0 0 0,P 37e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,37,e
23,1,599.963577,2.223e-23,0 1 1 0,0 0 0 0,P 38e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,38,e
23,1,597.039437,1.2929999999999999e-23,0 1 1 0,0 0 0 0,P 39e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,39,e
23,1,594.117215,7.409e-24,0 1 1 0,0 0 0 0,P 40e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,40,e
23,1,591.196958,4.182e-24,0 1 1 0,0 0 0 0,P 41e,"(0, 1, 1, 0)","(0, 0, 0, 0)",P,41,e
