Molecule	Upper Manifold	J'	Sym'	#'	Lower Manifold	J"	Sym"	#"	Position	Intensity	Eupper	Elower	Spol	A	Width	Branch	Label
LinearMolecule	Excited	44	e	1	Ground	45	e	1	579.500953959371	3.87395332900594E-8	3627.04803056522	3047.54707660585	14.6666666666667	30.173613017113	0	P(45)	Excited v=1 44 e - Ground v=0 45 e
LinearMolecule	Excited	43	e	1	Ground	44	e	1	582.415961893948	7.19115032725832E-8	3497.97364724524	2915.5576853513	14.3333333333333	30.6232436830041	0	P(44)	Excited v=1 43 e - Ground v=0 44 e
LinearMolecule	Excited	42	e	1	Ground	43	e	1	585.332934231675	1.31555979056248E-7	3371.78936009238	2786.4564258607	14	31.0771674234189	0	P(43)	Excited v=1 42 e - Ground v=0 43 e
LinearMolecule	Excited	41	e	1	Ground	42	e	1	588.251832079055	2.37177429863074E-7	3248.4981486551	2660.24631657604	13.6666666666667	31.5353612420992	0	P(42)	Excited v=1 41 e - Ground v=0 42 e
LinearMolecule	Excited	40	e	1	Ground	41	e	1	591.172616055572	4.21374525857709E-7	3128.10292486683	2536.93030881126	13.3333333333333	31.9977970293019	0	P(41)	Excited v=1 40 e - Ground v=0 41 e
LinearMolecule	Excited	39	e	1	Ground	40	e	1	594.095246276907	7.3769386271612E-7	3010.60653292756	2416.51128665066	13	32.4644409338084	0	P(40)	Excited v=1 39 e - Ground v=0 40 e
LinearMolecule	Excited	38	e	1	Ground	39	e	1	597.01968233862	1.27255624247841E-6	2896.01174918832	2298.9920668497	12.6666666666667	32.9352526384902	0	P(39)	Excited v=1 38 e - Ground v=0 39 e
LinearMolecule	Excited	37	e	1	Ground	38	e	1	599.945883300278	2.16296595210031E-6	2784.32128203843	2184.37539873815	12.3333333333333	33.4101845214561	0	P(38)	Excited v=1 37 e - Ground v=0 38 e
LinearMolecule	Excited	36	e	1	Ground	37	e	1	602.873807670047	3.62219738514127E-6	2675.53777179563	2072.66396412558	12	33.8891806808733	0	P(37)	Excited v=1 36 e - Ground v=0 37 e
LinearMolecule	Excited	35	e	1	Ground	36	e	1	605.803413389729	5.97614152250503E-6	2569.66379059897	1963.86037720924	11.6666666666667	34.3721757966104	0	P(36)	Excited v=1 35 e - Ground v=0 36 e
